Subdomain,IP,Cloudflare
checkout-ui-assets.tesla.com,23.52.180.57,false
cicerone.tesla.com,23.52.180.57,false
cld-ec.tesla.com,23.52.180.57,false
click.email.tesla.com,2.16.164.72,false
click.emails.tesla.com,13.111.48.179,false
cnvpn.tesla.com,103.222.41.215,false
cnvpn1.tesla.com,114.141.176.215,false
courses.tesla.com,23.52.180.57,false
cx-apac.tesla.com,23.52.180.57,false
cx-api-apac.tesla.com,23.52.180.57,false
cyberbeer.tesla.com,23.52.180.57,false
dal11-gpgw1.tesla.com,199.120.56.30,false
dashcam.tesla.com,66.17.12.76,false
dataviz.tesla.com,104.75.4.211,false
dex.ops.bn.na.vn.cloud.tesla.com,66.17.12.98,false
digitalassets-accounts.tesla.com,23.45.105.13,false
digitalassets-contents.tesla.com,23.36.162.200,false
digitalassets-energy.tesla.com,23.45.105.13,false
digitalassets-learning.tesla.com,146.75.122.1,false
digitalassets-secure.tesla.com,23.36.162.211,false
digitalassets-shop.tesla.com,146.75.122.92,false
digitalassets.tesla.com,146.75.122.92,false
diner-webapp-stage.tesla.com,2.23.244.70,false
diner-webapp.tesla.com,23.52.180.57,false
edr.tesla.com,23.52.180.57,false
ehs.tesla.com,23.52.180.57,false
einvoicing.tesla.com,23.52.180.57,false
email1.tesla.com,192.28.144.15,false
emails.tesla.com,13.111.18.27,false
employeefeedback.tesla.com,66.17.28.3,false
engage.tesla.com,52.222.236.5,false
envoy-finplat-stg.tesla.com,23.52.180.57,false
envoy-finplat-sunlight.tesla.com,23.52.180.57,false
envoy-partnerleadsharing.tesla.com,23.52.180.57,false
envoy-partnertasks.tesla.com,23.52.180.57,false
epc.tesla.com,23.52.180.57,false
epcapi.tesla.com,23.52.180.57,false
errlog-stage.tesla.com,23.52.180.57,false
errlog.tesla.com,23.52.180.57,false
events.tesla.com,13.111.47.195,false
exp-zcp-cloud-eu-itmfg-staging.tesla.com,23.44.119.214,false
exp-zcp-cloud-eu-itmfg.tesla.com,23.197.128.107,false
exp-zcp-cloud-na-itmfg-staging.tesla.com,23.44.119.214,false
exp-zcp-cloud-na-itmfg.tesla.com,23.197.128.107,false
external-3pl-prd.tesla.com,199.66.9.67,false
external-automation.tesla.com,209.133.79.52,false
external-sandbox-automation.tesla.com,23.52.180.57,false
extgithub.tesla.com,2.23.244.70,false
factory.tesla.com,23.52.180.57,false
feedback.tesla.com,66.17.25.3,false
financial-gw.tesla.com,199.66.9.77,false
finops.tesla.com,23.52.180.57,false
fleet-api.eng.na.vn.cloud.tesla.com,66.17.10.10,false
fleet-api.prd.eu.vn.cloud.tesla.com,18.203.70.200,false
fleet-api.prd.na.vn.cloud.tesla.com,66.17.10.76,false
fleet-api.prd.usw.vn.cloud.tesla.com,66.17.10.76,false
fleet-auth.prd.vn.cloud.tesla.com,23.36.162.219,false
fleet-streaming-api.eng.vn.cloud.tesla.com,66.17.12.37,false
fleet-streaming-api.prd.vn.cloud.tesla.com,66.17.10.73,false
fleetview.america.fn.tesla.com,66.17.10.118,false
fleetview.europe.fn.tesla.com,52.210.26.136,false
fleetview.fn.tesla.com,52.210.26.136,false
fleetview.prd.america.fn.tesla.com,66.17.10.118,false
fleetview.prd.europe.fn.tesla.com,52.210.26.136,false
fra05-gpgw1.tesla.com,199.120.51.30,false
gateway-public-telemetry-eng5a-fleet.eng.vn.cloud.tesla.com,66.17.12.72,false
gateway-public-telemetry-eng5b-fleet.eng.vn.cloud.tesla.com,66.17.10.104,false
gateway-public-telemetry-eng5c-fleet.eng.vn.cloud.tesla.com,66.17.10.114,false
gateway-public-telemetry-eng5d-fleet.eng.vn.cloud.tesla.com,66.17.12.115,false
gigabier.tesla.com,23.52.180.57,false
gpv.tesla.com,199.120.50.29,false
grid.tesla.com,23.52.180.57,false
hnd13-gpgw1.tesla.com,199.120.52.30,false
hub.tesla.com,104.75.4.211,false
humans.tesla.com,23.52.180.57,false
iad05-gpgw1.tesla.com,199.120.48.30,false
image-emails.tesla.com,23.52.180.57,false
image.email.tesla.com,2.16.164.82,false
image.emails.tesla.com,23.52.180.57,false
inside.tesla.com,23.52.180.57,false
installations-ext-api.tesla.com,23.52.180.57,false
inventory-assets.tesla.com,23.52.180.57,false
ion.tesla.com,23.52.180.57,false
ir.tesla.com,23.52.180.57,false
issue-tracker-stg.tesla.com,23.52.180.57,false
issue-tracker.tesla.com,23.52.180.57,false
issue-trackerapi-stg.tesla.com,23.52.180.57,false
issue-trackerapi.tesla.com,23.52.180.57,false
itanswers.tesla.com,204.74.99.100,false
kronos-dev.tesla.com,23.52.180.57,false
kronos.tesla.com,23.52.180.57,false
lax32-gpgw1.tesla.com,199.120.54.30,false
link.qa.tesla.com,46.51.200.92,false
link.tesla.com,23.52.180.57,false
links.tesla.com,23.52.180.57,false
live-data.america.fn.tesla.com,66.17.10.118,false
live-data.europe.fn.tesla.com,52.210.26.136,false
live-data.fn.tesla.com,52.210.26.136,false
live-data.prd.america.fn.tesla.com,66.17.10.118,false
live-data.prd.europe.fn.tesla.com,52.210.26.136,false
livestream.tesla.com,23.52.180.57,false
livestreamapi-test.tesla.com,23.52.180.57,false
livestreamapi.tesla.com,23.52.180.57,false
location-services-prd.tesla.com,23.52.180.57,false
logcollection.tesla.com,23.52.180.57,false
logcollector-ext.tesla.com,23.215.17.75,false
